Temperature,Moisture,Nitrogen,Phosphorus,Potassium,pH,Label
29,80,209,55,225,8.10147630585425,Sulfur
26,96,252,58,253,6.324235706056908,Drainage
25,78,266,56,99,5.528089538946938,Sulfur
24,94,244,51,296,6.700125418023296,DAP
24,74,259,7,208,6.823452460080621,DAP
29,66,243,47,229,6.6081871293805365,Healthy
29,69,238,62,233,5.448148752341917,Dolomite
27,106,202,58,253,6.226602299062395,Drainage
30,58,219,7,258,6.494328272839658,DAP
26,97,228,43,238,6.46431120465651,Drainage
25,60,250,56,203,6.579871261827492,Healthy
27,68,123,51,271,6.839608947218372,Urea
25,66,243,61,285,6.278970610473964,Healthy
25,61,203,9,266,6.440486831761522,DAP
29,78,213,47,131,6.702640931272752,MOP
30,77,39,60,120,7.938577349574363,Sulfur
27,65,226,46,191,7.801462156141356,Drainage
30,76,208,44,113,6.814757936386135,MOP
27,90,238,47,221,6.647107353411967,Drainage
31,65,227,40,277,5.293939537536409,Dolomite
22,68,213,43,264,8.498719073514902,Sulfur
27,77,214,55,243,6.462758316394017,Irrigate
26,67,41,57,63,7.331862353320043,DAP
27,34,238,44,222,6.695337637073255,Irrigate
25,67,242,49,246,6.714054791686205,Healthy
27,72,243,22,233,5.994623520664383,DAP
24,38,252,54,245,6.5099385306809925,Irrigate
25,65,214,9,246,6.309364482336015,DAP
27,99,229,59,258,6.7725593203791234,Drainage
29,96,242,55,209,6.096541239775612,Drainage
26,66,238,16,232,6.9642852583406025,DAP
29,78,229,45,129,6.432537485369547,MOP
29,71,229,45,291,6.005607095001438,Healthy
31,30,244,2,79,6.706102877489737,Irrigate
31,98,246,57,238,6.0395536104366565,Drainage
26,64,242,40,154,6.473333434914339,Drainage
31,67,201,43,103,6.337440444618543,MOP
29,67,223,8,259,5.877468762047778,DAP
27,87,174,42,277,5.773569862566526,DAP
29,65,231,51,270,6.547909385810913,Healthy
25,34,228,58,222,6.7442498827160575,Irrigate
32,56,249,60,278,6.944858622170133,Healthy
26,63,215,43,243,6.309305153556115,Healthy
32,61,232,54,286,6.423279083388295,Healthy
27,78,256,60,286,6.384923808735842,Healthy
26,72,227,40,115,6.67994884822451,MOP
28,99,232,48,291,6.301675050863132,Drainage
30,76,242,60,238,5.963687919353663,Healthy
26,65,223,47,254,8.574260821844106,Sulfur
25,72,227,48,116,6.824888230245642,Urea
26,80,219,50,236,6.245971035377738,Healthy
28,74,54,57,210,6.714415081933397,Urea
26,66,212,55,310,7.603481032303388,Sulfur
26,57,258,56,249,7.590967549929434,Urea
29,97,231,41,200,5.974411142062715,Drainage
24,80,244,41,261,6.662248426344539,Healthy
26,60,213,53,209,5.096479534451448,Dolomite
26,93,211,48,236,6.157705111236777,Drainage
29,70,243,40,282,6.877662563141879,Healthy
30,61,211,24,282,6.481255058864117,DAP
26,77,147,65,249,6.550885121510571,Urea
19,94,72,28,74,8.631765002390917,MOP
27,58,218,40,285,6.587147266641057,Healthy
31,62,243,51,241,6.288871201845604,Healthy
29,95,199,59,200,6.28306335249631,Drainage
28,71,258,48,242,6.715604368338101,DAP
31,75,239,48,265,6.210973869866091,Healthy
28,71,211,58,291,6.6496644386095,Healthy
27,73,214,44,244,8.355251347435583,Sulfur
20,89,221,58,193,5.3198891789506595,Dolomite
28,70,228,9,263,6.201212769666538,DAP
27,68,224,54,213,4.949988784525253,Dolomite
27,91,189,55,222,6.83423297830579,Drainage
29,73,207,24,300,7.181372070610376,Healthy
27,37,134,66,35,5.493642855886374,Irrigate
30,64,230,40,257,5.016811756570048,Dolomite
30,67,143,46,290,6.066422105630381,Urea
27,63,242,47,206,8.242381706428482,Sulfur
28,37,248,60,274,5.951381972936608,Irrigate
26,76,122,49,255,6.516279838583157,Drainage
29,66,216,9,221,6.995440751127053,DAP
21,55,187,16,137,8.157086317845225,DAP
26,78,210,51,222,6.761230717105173,Healthy
25,58,206,56,210,6.3728572584817975,Healthy
29,91,252,44,264,6.03045689953297,Drainage
24,90,183,58,111,6.020414902482119,DAP
24,18,114,50,245,7.7434266430672665,Irrigate
32,76,237,55,295,6.267099905309848,Healthy
26,100,233,14,147,8.139316582471773,Irrigate
29,76,233,46,288,6.580417866035073,Sulfur
25,94,218,53,258,6.764646833728881,Drainage
29,78,212,44,219,5.323545648153496,Dolomite
21,58,251,45,254,7.488591917853032,Sulfur
28,74,201,45,206,7.9911764178383695,Drainage
30,79,138,46,274,7.141324626803514,Urea
33,64,256,62,252,8.594781668111581,Sulfur
29,80,226,42,245,5.320595925337603,Dolomite
24,60,142,31,109,7.450462713187745,Healthy
27,78,249,41,249,6.620372205911085,Healthy
28,93,216,54,203,6.153779218643368,Drainage
30,66,191,50,262,6.182826176311418,DAP
29,73,227,59,314,7.721522955594972,Sulfur
27,71,234,49,60,6.971697055837516,MOP
28,66,239,59,236,6.72036752017555,Healthy
24,67,142,52,293,6.584226061890286,Urea
31,94,213,47,261,6.519092202850573,Drainage
28,81,183,42,240,5.291126802883835,Dolomite
28,63,71,60,260,6.212238090771471,Urea
25,62,229,59,296,6.671016531629154,Healthy
24,60,246,55,91,6.8627311469774055,MOP
34,43,61,15,255,8.34488998186796,Drainage
32,59,207,52,235,7.6657955769680735,Sulfur
26,61,210,62,211,8.102163766143292,Sulfur
19,89,234,30,52,4.564959439051909,Sulfur
27,68,103,60,255,6.6643320733333775,Urea
27,63,187,55,202,4.985023761314782,Dolomite
29,66,201,45,250,7.706635219813212,Sulfur
27,70,213,48,272,5.117373689184069,Urea
26,29,219,63,240,6.204950768815774,DAP
21,29,129,15,181,8.572515626368446,Irrigate
22,75,220,48,287,6.46273264596298,Healthy
24,75,230,16,220,6.263235628991433,DAP
27,56,204,12,238,6.025096541520584,DAP
23,70,103,48,207,6.700662432031075,Urea
30,65,245,11,231,6.154326462909231,DAP
30,38,203,46,259,6.710815459153684,Irrigate
25,62,222,57,304,6.8809299681773695,Healthy
25,100,249,48,277,6.658548729029248,Drainage
29,65,252,21,301,6.771323678737536,DAP
24,69,219,45,260,8.33465861816776,Sulfur
30,59,233,17,209,6.260685000776848,DAP
31,75,241,47,298,6.298551537947306,Healthy
24,78,215,60,195,6.694465078579286,Healthy
27,78,249,54,211,6.422704148222505,Healthy
27,45,234,48,243,6.047432551311269,Irrigate
31,73,237,42,214,6.26388642707429,Healthy
29,72,232,45,71,5.968394992223136,MOP
25,77,255,45,237,6.550524576355671,Irrigate
33,36,108,64,114,6.710272768810933,Dolomite
27,69,224,42,249,6.370917986933764,Healthy
25,77,205,45,251,6.038903817284561,Healthy
27,72,219,12,251,6.056709182774935,DAP
31,43,234,60,287,6.610790512105282,Irrigate
23,61,241,11,230,6.8116997238391965,DAP
25,62,232,50,113,6.784486649090528,MOP
27,63,243,57,281,6.484730585313916,Healthy
28,61,258,56,195,4.581897040131852,Dolomite
25,71,240,14,298,6.026267734772115,DAP
30,64,233,55,124,6.566386639609001,Sulfur
25,21,233,51,237,6.456842274870762,Irrigate
20,103,77,12,232,6.205045338364131,Sulfur
28,70,220,56,245,7.953609245303594,Sulfur
24,20,242,47,229,6.15576281024441,Irrigate
29,70,237,41,266,8.454173096409573,Sulfur
29,77,216,46,228,5.959902367918526,Healthy
28,65,230,48,243,4.89639240677638,Dolomite
26,62,236,45,59,7.077577323262573,MOP
28,68,220,17,234,6.86248575505324,DAP
30,79,204,48,293,5.987317993642076,Healthy
28,86,222,46,291,6.102375547232616,Drainage
25,30,207,48,279,6.173634003798391,Irrigate
26,59,135,54,205,6.294956729995118,Urea
23,40,238,47,296,6.4142296465682325,Irrigate
24,18,64,32,118,8.311899285762014,Healthy
26,70,220,41,292,6.332345403579955,Healthy
29,71,233,57,224,7.938120434119084,Sulfur
20,92,251,11,308,6.2896770588832895,Drainage
28,32,240,54,221,6.882192621105615,Dolomite
26,61,254,42,282,6.518517482724,Healthy
25,99,231,41,279,6.232370276055583,Drainage
25,64,206,52,140,6.123060133386786,MOP
25,68,222,48,226,4.835116859509403,Dolomite
31,78,43,54,218,6.995163884687485,Urea
30,67,235,51,239,8.124085654800533,Urea
29,74,211,56,299,7.356945887079055,Sulfur
27,74,237,48,108,6.402485103289018,MOP
31,102,252,63,243,6.605085672430105,Drainage
29,95,229,62,249,6.11404068393537,Drainage
26,66,260,49,276,6.094855049797226,Healthy
26,72,249,45,30,7.058279034527034,MOP
27,66,106,47,244,6.774243595620285,Urea
28,70,221,42,225,6.821446041698323,DAP
27,52,55,55,276,4.890128374128744,Drainage
30,89,225,53,248,6.7413097664207084,Sulfur
27,32,245,59,301,6.797849646772833,Irrigate
25,71,84,51,220,6.037150140310121,Urea
26,89,213,45,250,6.377051892119331,Drainage
29,71,182,55,232,8.45184571609141,Sulfur
31,72,255,53,117,6.460059736625878,MOP
31,61,206,44,248,6.236888368797709,Healthy
31,71,94,41,253,6.862119956629663,Urea
29,64,211,46,304,7.135224904974648,Healthy
22,77,207,42,251,7.546073151438461,Sulfur
28,66,198,40,79,6.416125038139375,MOP
25,63,257,42,268,4.46805973629339,Dolomite
26,65,225,42,265,7.016544343701543,Healthy
32,82,209,3,289,4.787718393387243,Irrigate
29,101,212,51,280,6.789369751955236,Drainage
27,62,218,40,207,6.153129400461466,Dolomite
23,75,190,42,242,7.861685580608889,Sulfur
24,67,233,39,218,8.244213670454501,Sulfur
30,97,202,42,266,6.809731018280865,Drainage
24,74,250,54,289,6.410818633494486,Healthy
29,71,274,43,232,5.108577519393391,Dolomite
26,67,258,63,250,6.2745957819672125,Healthy
23,24,142,18,188,6.3824942831172535,Sulfur
28,79,231,54,150,6.912039301008615,MOP
27,59,252,20,289,6.47322553656243,DAP
29,58,229,59,291,6.17872894681564,Healthy
29,78,236,57,254,6.92665733087192,Healthy
30,62,223,44,228,6.286816777892206,Healthy
28,65,220,50,62,6.1315584889289525,MOP
27,71,249,23,311,6.1508695080474585,DAP
20,42,201,17,283,8.332270779730361,Drainage
31,72,127,40,251,6.26756188339638,Urea
31,98,227,58,274,6.806470978980691,Drainage
28,75,207,55,217,6.9066319707075685,Irrigate
29,56,210,46,272,4.740038596804703,Dolomite
26,82,112,41,284,6.849030290490635,Urea
27,62,240,36,255,8.283625981209767,Sulfur
30,78,57,50,230,6.389817082885056,Healthy
26,60,218,58,247,6.914170157394588,Healthy
28,73,227,53,118,6.837167187588904,MOP
27,70,214,59,189,6.438042208371127,Healthy
26,67,128,56,241,6.224296738181197,Urea
32,63,133,60,297,6.210574247547927,Drainage
30,41,236,44,300,6.253548280244089,Irrigate
29,80,72,50,283,6.284919595442443,Urea
27,67,66,47,262,6.799647563127849,Urea
24,94,246,46,288,6.712165781092061,Drainage
27,72,207,48,101,6.194651880295313,MOP
30,79,237,12,285,6.246642170402477,DAP
29,73,215,56,304,4.746464415038251,Dolomite
27,76,98,37,279,5.991972002968105,Urea
28,62,222,52,217,6.010887274650848,Healthy
29,72,219,39,265,4.669339602606479,Dolomite
28,97,215,45,284,6.763313180851911,Urea
27,78,208,52,118,6.512214642990084,MOP
26,77,227,49,273,8.398471456147096,Sulfur
28,81,215,61,294,6.084596553683036,Urea
27,30,38,47,210,6.713158434951741,Sulfur
27,83,206,13,216,6.831097683684075,DAP
28,64,219,52,91,6.738746270770748,MOP
29,70,246,52,90,6.812514338897464,MOP
26,85,263,65,221,4.706319876528133,Sulfur
26,61,243,15,282,6.926616818695439,DAP
29,96,234,54,273,6.983035523948707,Drainage
25,61,197,45,124,6.517850604739326,MOP
27,95,218,55,228,6.024729418506421,Drainage
25,64,157,38,215,6.716192240846925,Urea
29,68,222,53,115,6.448815108120697,MOP
31,83,257,42,134,7.001951537224633,Urea
28,67,233,17,242,7.042423960406535,DAP
24,43,229,51,279,6.009029727616174,Irrigate
31,70,226,43,246,6.8968785553897485,Healthy
31,94,59,24,149,6.235666059471306,Irrigate
26,69,260,59,308,6.50607753473894,Healthy
29,63,206,24,280,6.897863953348626,DAP
32,37,211,41,290,6.269967398757898,Irrigate
23,26,238,47,275,6.272158447314807,Irrigate
29,77,244,53,205,6.706412363771046,Healthy
24,81,121,37,277,6.755541392694193,Urea
26,70,260,46,285,6.6437890016958,Healthy
25,30,216,46,258,6.4570811290978245,Irrigate
27,68,196,51,257,6.449704028174567,Healthy
30,82,107,53,291,6.817098094948901,Urea
26,62,198,53,280,6.243771526767444,Healthy
29,72,230,54,264,4.341011282631026,Dolomite
30,79,236,40,260,6.3488104537575145,Healthy
23,54,123,18,94,8.430339053140148,Drainage
28,60,199,11,219,6.9229923288170365,DAP
25,68,207,49,223,6.768032234981883,Healthy
29,69,230,48,291,8.523429338378145,Sulfur
31,25,37,12,206,6.216054183787715,Urea
25,62,245,19,202,6.599889414285126,Urea
27,63,229,51,279,6.226722290120309,Healthy
25,91,221,41,277,6.245378890274753,Drainage
29,75,201,40,231,5.372386442365585,Dolomite
27,72,239,49,228,5.085944849836773,Dolomite
32,79,248,49,204,7.080771392604183,Healthy
27,65,204,47,262,6.2457073068999565,Healthy
28,71,245,51,225,4.79291606197166,Dolomite
27,77,249,50,282,7.702982944324884,Sulfur
29,52,229,48,125,6.787424336230518,MOP
31,73,220,60,266,7.854271041254316,Sulfur
27,97,242,41,216,6.462830964758144,Drainage
26,78,238,55,299,8.078469576661588,Sulfur
30,66,194,44,215,6.487800991183917,Healthy
24,106,182,59,34,6.116815212449496,MOP
27,80,230,60,225,6.76240118543069,Healthy
23,80,241,7,298,6.392311850640475,DAP
30,37,188,50,203,6.678599722697448,Irrigate
24,66,216,44,88,6.237740599565936,MOP
31,66,227,45,227,6.458400339118327,Healthy
30,83,218,23,248,6.863060665193262,Urea
30,62,203,57,232,6.73235459235119,Healthy
29,72,210,52,269,6.055377970321199,Healthy
24,70,63,50,229,6.107218543094956,Urea
32,82,240,55,259,7.107534850025077,Irrigate
25,83,228,50,259,6.837758974737343,Healthy
25,50,238,5,158,4.9163939481098975,Irrigate
27,64,217,42,111,6.391911062304509,MOP
25,70,209,54,285,7.936469925852213,Sulfur
27,73,226,56,266,6.259047046688556,Healthy
26,65,223,51,260,6.871428011198953,Healthy
25,73,214,46,231,6.443657187680232,Healthy
25,72,214,57,143,5.920500097840304,MOP
27,98,224,48,242,6.183763266641253,Drainage
28,34,223,12,198,7.497116585263626,Healthy
30,22,255,45,251,6.633209973883398,Irrigate
24,63,216,40,299,5.487181755069114,Dolomite
26,69,203,54,221,4.679167322407665,Dolomite
33,79,209,54,252,5.192326567520209,Dolomite
28,97,208,44,280,6.187076721302868,Drainage
26,61,217,46,208,6.098728449292978,Healthy
30,94,234,38,263,6.338326981416127,Urea
26,72,221,47,242,4.6950373582738125,Dolomite
28,58,225,47,254,6.798314622190559,Healthy
35,72,208,11,230,6.797471086469416,DAP
33,60,218,9,226,6.782899133633206,DAP
28,64,228,54,226,6.150869052584317,Healthy
29,21,241,48,212,6.330807800126725,Irrigate
24,82,258,46,267,8.091077668876194,Sulfur
27,72,191,49,224,6.302213713194353,Healthy
26,78,218,43,271,6.700949921873603,Healthy
27,73,82,48,219,6.371428575435853,Urea
26,75,247,9,271,6.907714830291487,DAP
27,25,232,47,217,6.2589390211654825,Irrigate
27,77,231,58,245,6.096857039859888,Healthy
30,72,200,23,211,6.195034611541612,Urea
30,71,249,43,294,6.062485870750432,Healthy
29,97,241,54,282,6.185254302140457,Drainage
25,39,234,58,269,6.806394377620358,Irrigate
25,26,238,44,258,6.572515028200622,Irrigate
30,77,205,45,275,6.169426742275518,Healthy
30,79,191,51,310,6.900919238470854,Healthy
27,61,196,42,224,6.853259498426497,Healthy
29,77,239,58,229,6.410534170893388,Healthy
27,78,202,48,268,6.776221545898993,Healthy
28,76,232,40,304,6.650373088333825,Healthy
24,66,242,44,232,8.083852985544645,Sulfur
26,15,174,4,271,7.269085168709754,Drainage
23,42,170,61,282,5.662409645491177,Urea
29,65,241,53,312,8.352654522685269,Sulfur
30,77,248,40,251,5.052792884572021,Dolomite
29,75,209,21,250,6.346635925678524,DAP
29,35,218,46,306,5.915443701601632,Irrigate
28,80,252,57,212,5.918471096462018,Healthy
24,78,205,52,105,6.186380176327853,MOP
24,76,217,41,291,6.728829987689407,Urea
29,68,230,45,214,8.202355623722053,Sulfur
32,64,224,55,88,6.255666533849474,Drainage
30,74,198,56,238,6.640889166678039,Healthy
28,98,201,53,248,6.863722246018801,Drainage
27,88,218,55,272,6.280901275711677,Drainage
23,72,237,60,120,6.855563689978611,MOP
27,63,80,41,221,6.339320982539363,Urea
26,63,238,47,250,7.692248095481778,Sulfur
31,64,70,55,221,6.6252601467088645,Urea
29,38,223,40,264,6.647685133232368,Irrigate
30,75,206,56,200,6.479176569619535,Drainage
22,63,81,18,199,7.6341421751071845,Urea
24,64,245,54,257,6.546324791481364,Healthy
27,59,219,50,296,5.281660442667182,Dolomite
23,48,65,33,267,6.012059452151808,Sulfur
24,70,240,54,97,6.240552955282406,MOP
34,66,185,52,201,7.527900887461628,Sulfur
25,19,208,1,93,8.189803569431962,Sulfur
30,65,216,42,252,6.328390883952215,Healthy
28,63,238,47,293,6.254771546508744,Healthy
23,81,222,53,209,6.536728753036343,Healthy
27,26,185,43,218,6.333874952744576,Irrigate
27,92,228,54,247,6.908958588398213,Drainage
26,93,243,52,296,6.403508150283011,Drainage
27,78,75,53,306,7.007060817548285,Urea
28,59,206,9,229,6.6488083336912345,DAP
24,79,220,44,221,6.14616180043074,Healthy
32,80,222,56,298,4.649230794681404,Dolomite
28,79,106,42,231,6.28729249535544,Urea
28,65,218,51,220,6.734773895410558,Healthy
29,72,98,48,287,6.637520034014684,Urea
24,91,188,60,234,6.744768103470971,Drainage
19,65,251,58,265,7.874846519142894,Dolomite
25,100,249,45,265,6.497373367205547,Drainage
28,70,226,51,239,6.669414049356068,Healthy
28,74,223,49,290,6.88388683827474,Drainage
25,63,131,56,230,6.507526291881073,Urea
27,78,207,9,269,6.662851046865406,DAP
22,74,204,25,205,6.364024436060306,DAP
33,68,242,10,228,6.302833872854764,DAP
27,81,209,49,298,5.907272126126067,Healthy
22,73,110,52,315,7.131018616244775,Urea
30,78,72,54,242,6.445909775967599,Urea
25,72,249,54,248,6.3715185349229255,Healthy
30,38,227,52,283,6.234817763234243,Irrigate
30,99,218,57,266,6.271110352742531,Drainage
22,60,224,43,222,6.827878651830683,Healthy
34,29,274,44,64,7.219342449757101,DAP
25,75,212,58,295,7.854025526889633,Sulfur
30,62,223,16,256,6.930556767700773,DAP
31,77,245,45,268,6.578876552502133,Healthy
28,62,205,61,288,4.579118328227494,Dolomite
20,48,247,3,167,5.4897967974346855,Sulfur
29,78,244,44,254,6.099861234669015,Healthy
30,69,224,43,273,6.091498124252966,Healthy
30,67,218,23,260,5.964956253199284,DAP
24,62,240,45,204,6.785249030700121,Healthy
27,74,246,48,269,8.079450170622902,Sulfur
26,92,228,39,244,6.649821380591984,Drainage
29,78,244,60,222,5.449399420183151,Dolomite
27,77,236,11,196,6.472571358498982,DAP
30,97,231,65,196,5.579016193378299,Sulfur
26,64,240,59,223,6.06602915169353,Healthy
29,82,243,52,230,6.814853241362614,Healthy
26,28,240,57,252,6.099950866474984,Irrigate
30,62,213,58,203,6.494569971802799,Healthy
24,77,207,53,263,6.656586025222759,Healthy
27,58,215,44,308,6.822327501171369,Irrigate
30,67,205,16,283,6.721540352696871,DAP
27,79,75,59,233,6.295072918618307,Urea
27,73,206,61,246,4.610995300363772,Dolomite
26,70,212,20,204,6.752662340126719,DAP
28,71,59,66,131,5.746671143868722,MOP
27,67,214,44,296,8.353940870440535,Sulfur
26,70,190,60,269,7.583522656254694,Sulfur
30,73,121,54,211,6.602480619658482,Urea
27,68,236,43,219,6.541652129577956,DAP
24,98,244,58,253,6.968492937501433,Drainage
34,70,215,57,293,6.42121065688832,Healthy
28,78,208,16,263,5.998058356099718,DAP
25,30,189,46,292,6.174193567644849,Irrigate
26,68,203,44,266,6.457022306869211,Healthy
27,65,202,57,236,6.102089081612772,Healthy
25,73,144,43,262,6.485133009344336,Urea
23,61,223,57,127,6.514061103809159,MOP
35,44,147,66,144,5.861207620506414,Irrigate
28,75,208,42,228,7.492854254907242,Sulfur
26,62,248,64,211,8.046075906503432,Urea
28,69,236,60,206,6.087851039343698,Sulfur
25,60,253,20,225,5.962153437682965,DAP
26,26,220,47,198,5.928981141167404,Irrigate
26,72,128,53,191,6.555429200697193,Urea
26,63,226,60,295,4.898936052458039,Dolomite
27,98,204,53,197,6.609160842503334,Drainage
30,66,227,43,203,8.3360773978182,Sulfur
29,97,186,45,218,6.924043955107082,Drainage
31,23,207,57,283,6.62420429586053,Sulfur
30,79,202,51,289,6.8713322592159365,Healthy
28,68,150,58,264,6.760559770543376,Urea
30,70,226,42,204,6.701432060461059,Healthy
34,70,198,45,249,6.439789176107212,Healthy
26,69,127,53,263,6.355695252411008,Urea
24,79,257,52,253,6.476429698379504,Healthy
24,76,218,40,250,7.988465045801595,DAP
27,63,215,45,294,5.479685323895987,Dolomite
29,71,219,46,263,6.761602927837685,Urea
23,66,226,60,288,6.108646735982243,Healthy
21,22,159,47,147,7.46207573357154,Sulfur
27,73,214,44,145,6.424738178013113,MOP
25,55,52,47,232,6.966900925691079,Urea
24,63,215,46,250,8.123838579496562,Sulfur
27,77,196,41,221,4.676843538880773,Dolomite
27,71,238,41,313,6.364147041123715,Healthy
35,70,229,44,238,8.086652493395718,Sulfur
26,60,218,56,213,6.453161046285564,Healthy
29,66,232,49,282,6.324754366632488,Healthy
26,62,236,51,112,6.283968742098356,MOP
27,66,186,51,257,8.522884905535967,DAP
23,81,230,59,283,6.314190307253627,Healthy
27,79,238,51,215,6.82587411505539,Healthy
27,72,146,54,280,6.509399754895698,Urea
32,67,224,42,95,6.966184805224304,MOP
31,83,224,56,242,7.608914447833034,Sulfur
32,67,213,43,93,6.683162601332175,MOP
29,71,206,52,37,6.808121168774467,MOP
28,75,217,58,306,6.478168830200466,Healthy
26,76,226,47,240,6.576666487103685,Healthy
30,76,218,44,259,6.30763111982922,Healthy
30,72,195,24,242,7.009123784606358,DAP
27,72,141,45,228,6.207389837953749,Urea
30,63,236,44,283,6.458077302997334,Healthy
29,80,258,58,207,5.252507026018078,Dolomite
26,66,220,44,104,6.761910313792798,Dolomite
30,63,211,46,287,8.185663111487425,Sulfur
27,64,243,51,245,6.167651539047044,Healthy
29,79,252,24,233,6.607824998374696,DAP
29,64,255,40,286,6.710478038630171,Healthy
28,60,192,47,136,6.738571489561838,DAP
28,64,234,48,211,6.947138828898314,Healthy
28,66,201,9,258,6.768129605355543,DAP
25,64,251,63,240,6.755711273767413,Healthy
26,77,210,65,78,6.281494797285174,Urea
26,74,72,46,260,6.653112025362185,Urea
28,74,233,48,264,5.344211761271822,Dolomite
32,90,233,52,287,4.362797671593987,Drainage
33,73,259,58,279,6.854263877935711,Healthy
26,83,116,21,168,7.209420228784348,DAP
30,73,226,41,257,4.926383946472433,Dolomite
27,75,202,52,288,4.936695186174447,Dolomite
25,61,164,38,91,5.49938615115334,Healthy
27,81,211,51,293,6.207878706457086,Healthy
